school_name,state,size,admission_rate,pell_grant_rate,median_debt,cost_of_attendance,net_price_0_30k,net_price_30_48k,net_price_48_75k,net_price_75_110k,net_price_110k_plus
Princeton University,NJ,5709,0.0462,0.1924,10320,84040,41,352,1217,4478,36094
Massachusetts Institute of Technology,MA,4535,0.0455,0.1932,14768,82730,-2533,93,1480,11555,48479
Harvard University,MA,7601,0.0365,0.1643,14000,85540,8697,2991,2091,9941,53337
Stanford University,CA,7554,0.0361,0.1916,12000,87833,-2536,-193,3212,11092,53882
Yale University,CT,6758,0.0387,0.2039,12975,88300,17633,15626,17943,12558,45951
University of Pennsylvania,PA,10650,0.054,0.1653,15715,89028,-3012,316,10439,25476,55972
California Institute of Technology,CA,987,0.0257,0.1799,,86886,-2133,-2886,431,18753,54157
Duke University,NC,6442,0.0571,0.1403,13000,87072,735,-361,5706,17100,54230
Brown University,RI,7226,0.0539,0.1384,11428,87648,-420,2031,5858,16219,44937
Johns Hopkins University,MD,5693,0.0644,0.1949,10250,85947,428,-213,4179,14591,37774
Northwestern University,IL,9201,0.0769,0.1855,15000,91250,1764,6099,7898,18282,48777
Teachers College at Columbia University,NY,,,,,,,,,,
Cornell University,NY,15995,0.0876,0.1841,14000,88140,1776,4070,6796,14311,49992
University of California-Berkeley,CA,33068,0.1098,0.2864,13000,45619,5311,6501,9693,15074,34529
University of California-Los Angeles,CA,33475,0.0897,0.2824,14000,38614,5579,6682,9811,14142,29682
Rice University,TX,4776,0.08,0.1703,11000,79788,5827,563,3217,17755,48466
University of Notre Dame,IN,8818,0.1127,0.1374,19000,83271,7244,7254,11432,18670,45321
Vanderbilt University,TN,7208,0.0586,0.2022,14000,89590,3414,1876,4498,12153,45145
Carnegie Mellon University,PA,7304,0.1166,0.1604,21750,83654,9097,6994,14468,24865,51480
University of Michigan-Ann Arbor,MI,34177,0.1564,0.1813,19500,34654,1043,1878,4895,10869,26517
Georgetown University,DC,7569,0.1291,0.1012,15500,88741,5064,12155,18329,26459,57403
University of Virginia-Main Campus,VA,17597,0.1681,0.1555,17500,39926,8174,9696,13283,20822,35402
University of North Carolina at Chapel Hill,NC,20752,0.1534,0.2004,14000,26055,2004,3918,8538,16415,24396
Emory University,GA,7298,0.1065,0.1821,18250,83622,7363,9220,11237,13821,53018
University of California-San Diego,CA,34948,0.2671,0.342,15500,38701,7525,8155,9942,15199,28785
