school_name,state,size,admission_rate,pell_grant_rate,median_debt,cost_of_attendance,net_price_0_30k,net_price_30_48k,net_price_48_75k,net_price_75_110k,net_price_110k_plus,par_q1,par_top1pc,par_median,mobility_rate
Princeton University,NJ,5709,0.0462,0.1924,10320,84040,41,352,1217,4478,36094,2.0432553,20.105957,218100,1.3457949
Massachusetts Institute of Technology,MA,4535,0.0455,0.1932,14768,82730,-2533,93,1480,11555,48479,5.1078739,7.0637131,141000,3.398201
Harvard University,MA,7601,0.0365,0.1643,14000,85540,8697,2991,2091,9941,53337,3.0466166,15.399451,174000,1.7591679
Stanford University,CA,7554,0.0361,0.1916,12000,87833,-2536,-193,3212,11092,53882,3.5795205,14.479454,172600,2.2457635
Yale University,CT,6758,0.0387,0.2039,12975,88300,17633,15626,17943,12558,45951,3.6328011,17.610744,199700,2.0817068
University of Pennsylvania,PA,10650,0.054,0.1653,15715,89028,-3012,316,10439,25476,55972,3.5353341,15.717262,175300,2.0525045
California Institute of Technology,CA,987,0.0257,0.1799,,86886,-2133,-2886,431,18753,54157,4.8102689,4.3595595,124500,3.1777687
Duke University,NC,6442,0.0571,0.1403,13000,87072,735,-361,5706,17100,54230,3.1803749,19.215614,196000,1.6026281
Brown University,RI,7226,0.0539,0.1384,11428,87648,-420,2031,5858,16219,44937,2.9180808,18.865089,197000,1.5486852
Johns Hopkins University,MD,5693,0.0644,0.1949,10250,85947,428,-213,4179,14591,37774,3.6704926,8.8066912,142300,2.1514802
Northwestern University,IL,9201,0.0769,0.1855,15000,91250,1764,6099,7898,18282,48777,3.0700424,14.244716,168500,1.6942441
Teachers College at Columbia University,NY,,,,,,,,,,,6.1542444,1.2488611,96000,1.1932503
Cornell University,NY,15995,0.0876,0.1841,14000,88140,1776,4070,6796,14311,49992,4.8977413,9.1139021,143300,2.9070237
University of California-Berkeley,CA,33068,0.1098,0.2864,13000,45619,5311,6501,9693,15074,34529,8.8423376,4.7117095,114700,4.8850956
University of California-Los Angeles,CA,33475,0.0897,0.2824,14000,38614,5579,6682,9811,14142,29682,10.242689,3.6824386,105500,5.596252
Rice University,TX,4776,0.08,0.1703,11000,79788,5827,563,3217,17755,48466,3.2903128,7.1944342,149200,1.603426
University of Notre Dame,IN,8818,0.1127,0.1374,19000,83271,7244,7254,11432,18670,45321,1.4379559,10.973148,165400,.89727288
Vanderbilt University,TN,7208,0.0586,0.2022,14000,89590,3414,1876,4498,12153,45145,2.4821994,21.908806,197900,1.4718471
Carnegie Mellon University,PA,7304,0.1166,0.1604,21750,83654,9097,6994,14468,24865,51480,4.1113148,6.3818531,134400,2.1873827
University of Michigan-Ann Arbor,MI,34177,0.1564,0.1813,19500,34654,1043,1878,4895,10869,26517,2.9959381,9.1540947,156100,1.5084569
Georgetown University,DC,7569,0.1291,0.1012,15500,88741,5064,12155,18329,26459,57403,3.1886191,17.792719,195100,1.945704
University of Virginia-Main Campus,VA,17597,0.1681,0.1555,17500,39926,8174,9696,13283,20822,35402,2.8213162,7.3188758,151000,1.4619415
University of North Carolina at Chapel Hill,NC,20752,0.1534,0.2004,14000,26055,2004,3918,8538,16415,24396,3.4589846,5.5154452,129500,1.1518728
Emory University,GA,7298,0.1065,0.1821,18250,83622,7363,9220,11237,13821,53018,3.6100194,16.779459,175700,1.8005463
University of California-San Diego,CA,34948,0.2671,0.342,15500,38701,7525,8155,9942,15199,28785,8.777235,3.3567567,111300,4.8327465
University of Southern California,CA,20443,0.0981,0.2224,18000,90300,13516,14394,19539,24976,56116,7.2092438,10.021389,120100,3.9329739
The University of Texas at Austin,TX,42855,0.2664,0.2585,20500,31247,12553,14297,17207,24406,30082,4.9989672,4.8796396,125100,2.2225699
University of California-Davis,CA,32253,0.4183,0.3135,13000,41238,9211,9966,11951,16294,31272,8.5837574,2.6686411,109400,4.4437985
University of California-Irvine,CA,30197,0.2857,0.361,15000,38632,8123,9313,11642,15164,30546,12.246905,1.5964504,92100,6.7682147
Tufts University,MA,7061,0.1149,0.1204,16250,88300,11284,9811,14923,23311,58570,3.42082,14.427018,187900,2.1266046
University of Wisconsin-Madison,WI,36902,0.452,0.1594,20484,28679,4200,4101,8134,17763,27292,3.9766307,1.6502807,96100,.87985051
Boston College,MA,10085,0.1643,0.1291,19000,89493,4284,7304,13112,19999,60308,2.8515625,13.808219,168400,1.6028848
Georgia Institute of Technology-Main Campus,GA,18785,0.1407,0.139,21672,28167,7666,7209,10818,15088,17396,3.2330997,3.2896769,126000,1.8577013
University of Illinois Urbana-Champaign,IL,36258,0.4237,0.2341,19500,33642,2038,5373,7982,15152,28761,5.0846786,2.0003836,109000,2.1192648
University of Washington-Seattle Campus,WA,31942,0.3915,0.1486,14615,32446,6384,7039,8110,14328,30019,5.3789549,2.5079434,108100,2.4520488
Boston University,MA,18248,0.1111,0.1915,23250,86285,9500,9342,11778,22517,47504,4.0002327,7.5743399,126800,2.0175173
Ohio State University-Main Campus,OH,45638,0.6057,0.2016,19976,30305,4885,5751,9807,20461,27359,5.1573491,.65052009,81900,1.6936833
University of California-Santa Barbara,CA,23113,0.3297,0.2785,13993,41573,9231,9992,12588,17136,31863,6.211503,3.8128436,124000,3.0754454
Wake Forest University,NC,5485,0.2167,0.1009,21500,87499,6525,6331,7647,12771,58081,1.7875917,16.580261,191500,.72119987
